,City,Latitude,Longitude,Country,Date,Cloudiness,Humidity,Temp,Wind Speed
0,Punta Arenas,-81.54958673492467,-108.25961574423755,CL,1538949600.0,40.0,91.0,42.8,19.46
1,Angoche,-17.438868170271164,42.173997110355145,MZ,1538950779.0,92.0,100.0,76.93,18.16
2,Ola,57.18422946094856,151.67189595669612,RU,1538947800.0,0.0,85.0,23.0,4.47
3,Jamestown,-23.821111262591458,-13.073333601005487,SH,1538950779.0,92.0,100.0,68.11,12.68
4,Albany,-55.393713139724454,122.62939513055443,AU,1538950620.0,64.0,93.0,48.22,3.62
5,Bluff,-88.06378774772965,174.7277905832555,NZ,1538950779.0,80.0,100.0,48.4,20.4
6,Butaritari,26.38488506244086,171.13563808058103,KI,1538950620.0,0.0,100.0,83.41,6.2
7,Whitefish,48.76705714021986,-114.88713895349424,US,1538949300.0,90.0,8.0,51.08,2.73
9,Hobart,-58.968276243224956,150.29629570157084,AU,1538947800.0,75.0,71.0,53.6,6.93
10,Boa Vista,2.7957698181820803,-62.75507508570898,BR,1538949600.0,20.0,41.0,93.2,5.82
11,Castro,-52.962445626275944,-98.46488820228745,CL,1538950780.0,92.0,100.0,48.04,8.43
12,Dingzhou,38.23759783049755,114.74755301532264,CN,1538949600.0,0.0,50.0,51.8,8.95
13,Kalmunai,6.639174302793066,83.80069989097547,LK,1538950780.0,44.0,100.0,72.34,4.07
15,Campodarsego,45.502750752799756,11.90483016525235,IT,1538949300.0,5.0,88.0,60.78,3.36
16,Upernavik,81.47821864105458,-56.48942509206276,GL,1538950781.0,88.0,100.0,33.82,21.52
17,Grindavik,62.82769547383401,-23.840175757856258,IS,1538947800.0,75.0,86.0,36.3,5.82
18,Hasaki,33.57579824855968,150.43348085871185,JP,1538949600.0,75.0,73.0,70.66,10.29
19,Georgetown,-20.57068195570585,-19.43737767955315,SH,1538950781.0,92.0,100.0,75.76,14.7
20,Dikson,71.95681498142432,81.79848730077799,RU,1538950602.0,36.0,94.0,40.03,43.11
22,Grand Gaube,-13.459909699334801,62.72027039482714,MU,1538946000.0,20.0,82.0,68.0,8.05
24,Havre-Saint-Pierre,55.04919840534717,-64.8066680159216,CA,1538946000.0,20.0,42.0,44.6,9.17
25,Port Elizabeth,-81.91240588376799,36.58327897478998,ZA,1538946000.0,0.0,88.0,66.2,14.99
26,Vestmanna,67.36862307937321,-7.9144627048966925,FO,1538949000.0,80.0,75.0,44.6,18.34
27,Rikitea,-57.929270668681475,-120.44253294841327,PF,1538950782.0,100.0,100.0,67.66,6.87
28,Yatou,36.54549970258523,123.71065603874217,CN,1538950782.0,92.0,100.0,40.66,0.94
29,Praia da Vitoria,48.16961759869329,-23.70567360380369,PT,1538949600.0,20.0,94.0,69.8,17.27
30,Micheweni,-5.748052155025604,45.379119260764384,TZ,1538950783.0,0.0,99.0,78.19,14.14
31,Abdulino,53.747944328058765,53.8346407814698,RU,1538950783.0,8.0,71.0,49.84,13.02
32,Nikolskoye,53.87549786082937,165.7351411724585,RU,1538947800.0,0.0,90.0,35.6,8.95
